sentiment,text
positive,fit perfectly and black socket head screws sit flush<br />nice dress up item reasonably priced
negative,"Doesn't fit a 99-06 Tahoe, even though Amazon says so."
negative,Did not last long at all even tho it’s directly connected to the car the actual image is not even recognizable only after 2months
positive,Fits Bronco OBX 4 door perfectly !!!! Great find
positive,I’m GM tech so I’m a firm believer in OE parts. I’ve used Taylor products before with no issues . These were less then the OE wires with my discount. Fit is perfect so far no worries
positive,Only car wash my husband will use.
positive,Appear to be high quality.
positive,Installed these in a 2018 F150 for the fog lights. These really woke those housings up!
negative,Reason for the two star rating. Product was easy enough to install in our 2008 Chrysler Town and country. Instructions were useful but You Tube is better. After install tested and found have both turn signals and brake lights. but no tail lights. Can only be a defective control Module. good part since ordered from Amazon. Replacement is already on the way. I have ordered things that were not sold and shipped by Amazon.The return experience on those item were a nightmare. Any more if it more than a buck or two I only order what Amazon sells and ships.
positive,as expected
positive,Replaced incandescents on 2022 fxlrs. Nice and bright halo. Coupled it with Custom Dynamics Tripleplay. Now I'm much more visible from the rear.
positive,"Awesome product. Used with a pressure washer and soap cannon, it leaves the vehicles clean and shiny. There's a very noticeable difference between this and the local car wash."
positive,love it!. great crafting!!
positive,"Great product, great price, great seller!"
positive,"Installed this on my 2005 Chrysler T&C along with the MOPAR extension tubes (05139726AA) in October of 2015 and still working great 8 months later.  There is a great step by step YouTube video for the replacement of this.  It's hard to say what was leaking, but it was probably the extension tubes.  I replaced the tubes, evaporator core, and expansion valve."
positive,Like to much
negative,They didn't fit my vehicle like the site said they would and they seemed pretty cheap anyway quality wise.
positive,"The charger automatically chooses the correct voltage for 12 volt or 6 volt charging and charges at a 2 amp rate on one to four of the banks at once.  Each bank is protected against over current, reverse connection, short circuit, over charge and is also water proof.  You get full charge safely.  The kit supplies alligator clips and ring terminals so each bank may be used at once.  This charger is great for boats of all sizes, trucks, cars and even RVs."
positive,"Bosch Icon Blade, yes they are expensize, but there is really no sense in buying anything else, these usually last me 3-4 years even in the heat of california."
positive,Added these to my recovery kit and new synthetic rope.
positive,Bought a cheaper brand and the Honda outboard sputtered and misfired.  Put these in and it runs great!  Highly recommend.
positive,"Good Quality excellent instructions and it looks to be permanent for many days to come, putthis on a Lap top may have to get another for my car as was the original intent..... :)"
positive,"Easy to use, easy to clean, easy all around. What more could you need to know about this funnel? It was just what I needed and it's just what you're going to need. I recommend buying this."
positive,Well built tie rod end.
positive,"Comes with 3 of the rubber grip parts. 2 the same size, one smaller so it should fit pretty much all phones.<br />Holds the phone very secure and it's quick and easy to put the phone in and take it out.<br />Definitely recommended."
positive,Heavy duty and easy to put together. Works well in either position and wheels are strong and very sturdy. I use it al the time.
positive,Very easy to program for my Chevy Tahoe and it works perfectly at a fraction of the cost!
positive,"Replaced quick and easy. The gas cylinders were 1/2 the side of the old ones so I was a little concerned but once installed they worked great. I;m well happy with them and the price was great, I thought."
positive,"I purchased this to protect my vehicle if I needed to haul anything in the back that could potentially create a mess. I ended up hauling bags of colored stone over the weekend, some of the bags were wet, leaving a mess of white paint dust and water to run together, which would have stained my interior badly.<br /><br />Luckily, this lovely cargo liner completely contained the watery mess and I was able to hose it off with minimal effort. My car is still nice and spotless inside, and more importantly, stain free.<br /><br />As others have mentioned, this item did arrive folded and I did place it on the front lawn in the hot sun for about 2 hours or so prior to installing it in my car. It flattened fine and you can not see any ridge or shape within a few days."
positive,I have to admit this thing is quite a bit larger than I expected. Sounds hollow and plasticy - almost like it really doesn't have to be as such. Does the job of a basic charger / maintainer very well but I expected more features based on the description. If you need a basic and capable charger then this is a solid unit and worth the money. Don't expect advanced features (as advertised in the description) because you pretty much just have options to charge different types of batteries... All in all though - solid product.
negative,"I've had a couple of these... This is decent, but the quality is definitely worse than OEM. The surface that goes into the bearing is noticeably softer metal than a Subaru part, since it scratches very easily and looks chewed up after a single bearing install (I've reused the factory ones 3-5 times with less damage).<br /><br />That being said, I've ran a couple pretty rough gravel rally events on one of these and it hasn't exploded. Knock on wood..."
positive,my relatives will really enjoy this
positive,"The dealership quoted me $$$$$ to replace my compressor because they got the error code saying my 2012 Toyota Camry had a failed flow sensor. Did my research and ended up here. I tried the magnet trick (carefully holding a magnet near the sensor and the compressor kicked on) so I was hopeful this part would work. The hardest part of this was finding someone to replace this sensor. I didn’t feel I could do it on my own because of where it’s located under my hood and no repair shop would agree to do it. They all said no, they’ll just replace the whole thing for thousands of dollars. Found a family friend, it took him about 2 hours to replace it due to corrosion around the sensor, and bam!!! My AC worked again with just this part. I am so thrilled to have found this!!"
negative,"This cover is a  5 star concept.  It much stronger than the conventional plastic RV vent covers. It's hail, pine cone and  rock resistant. And will not deteriorate in full sunlight. It also has some insulating foam to reduce heat loss. I was looking forward to upgrading my original cover on my Apex Nano trailer.<br /><br />Unfortunately, it is a one star product.<br />First, it doesn't fit. The cover is about 1/4” too short to clear my RV's fan motor.  Close but it will not shut all the way. It is not “universal”.<br />Second, the foam insulation was poorly glued to the metal. About half of the foam was hanging loose and ready to fall into the fan and screen.<br /><br />Amazon was (as always) a 5 star company and accepted the return with free shipping and full, fast refund."
positive,"Bought this for a golf cart battery to leave on a maintainer since it sits for longer periods of time.<br /><br />Before I just had an SAE cable sticking through a hole with a rubber grommet. Functional, yes. Professional looking, no.<br /><br />Saw one of these and put it in. It offers a very clean look and a secure place to plug the maintainer into without having to lift the seat every time."
positive,"I have a car strictly for leisure driving and found the battery would struggle or die between weeks of car usage. I was aware of the battery life degradation that was happening and knew about battery tenders, so I purchased this one recommended by my co-worker. My battery was almost dead and this charged it up in just over 24hr! It's keeping it topped up which I'm thrilled by. And for the price, it's completely worth the money!"
positive,"This was too large for my steering wheel so it went on easy but you can't hold one side of the wheel without this popping off the other side.  That being said, I don't blame the product itself - it's very nice and cushiony.  I actually liked it enough to actually cut it and remove a piece to properly fit my steering wheel.<br /><br />Just a word of caution to other buyers:  Don't bother using Amazon's car chart thing that tells you whether something should fit your make/model of car - it's really inaccurate (Neither this or another car product I bought fit my car properly even though Amazon's guide indicated it would - Lesson learned LOL.  But since I don't fault the product for this at all, I'm not docking any stars.<br /><br />For anyone else who has a 2014 Kia Soul; you're going to need a smaller steering wheel cover if you expect it to fit properly - this isn't the right size for you."
positive,"Good bearings, no problems."
positive,Very bright! Pretty bright for the price
positive,nice and fit Acura MDX 2004 perfect
positive,"Worked as described, would buy again if needed."
positive,Quick shipping.  As advertised....
positive,Love that it is so lightweight compared to the old style.
positive,Very easy to install. Just follow the directions. Mayne 4-5 minute installation for each side. This was my first install.
positive,Perfect...exactly what i ordered...worked great and saved some bucks compared to local auto stores.
positive,Fast light durable
positive,Easy to install.
positive,Well packaged in a small box to keep in the trunk of the car. Low profile and no mess.
positive,"I don't know what people expect with a product like this, but here's how it seems to work:<br /><br />It's dyed polish/wax, not magic potion.  It is a different consistency than, say, paste carnuba wax.  It does not &#34;fill&#34; scratches, but instead leaves a tinted wax residue rather than a white wax residue.  For many superficial scratches, this tinting is so much less noticeable than the white that it seems to make the scratches almost disappear.  It may or may not fill the tiny swirl marks you get when some moron goes at a nice clearcoat with a high speed buffer (I'm convinced that most paint damage is not due to sun, road grit and harsh detergents, it's due to morons with power buffers).  The tinting also serves to dye oxidized paint, while the polishing compound in the wax removes it, so you get sort of mixed results on heavily oxidized surfaces, and you need to go over them a few times to get them even.<br /><br />I just used this on a 30 year old paint job and the results are remarkable - literally I've had people asking what the hell I just used because it took 10 years off the car.  And, I still need to go over it a couple more times before it's even.<br /><br />I've never used this brand previously, so I don't know about longevity, but Turtle Wax had a similar product I used in red, and I expect this to last about the same:  4-6 months before a re-coat makes an obvious difference (parked outside).<br /><br />Why not five stars?  It's good, but not quite as good as the hype."
positive,Not that easy to install but I love them when we got them in
